19,1584,20,1,0
41,1584,42,2,1
63,1584,64,2,1
85,1584,86,2,1
107,1584,108,2,1
129,1584,130,2,1
151,1584,152,2,1
173,1584,174,2,1
195,1584,196,2,1
217,1584,218,2,1
239,1584,240,2,1
261,1584,262,2,1
283,1584,284,2,1
305,1584,306,2,1
313,1584,335,3,0
314,1584,336,3,0
315,1584,337,3,0
327,1584,328,2,1
335,1584,336,2,1
336,1584,337,2,1
337,1584,1584,4,0
357,1584,335,0,3
358,1584,336,0,3
359,1584,337,0,3
1327,1584,1349,3,0
1434,1584,1435,2,1
1537,1584,1538,2,1
1559,1584,1560,2,1
1581,1584,1582,2,1
1584,1585,337,0,4
