26,1584,48,3,0
38,1584,37,1,2
70,1584,92,3,0
82,1584,81,1,2
114,1584,136,3,0
126,1584,125,1,2
158,1584,180,3,0
170,1584,169,1,2
202,1584,224,3,0
214,1584,213,1,2
246,1584,268,3,0
247,1585,246,1,2
258,1584,257,1,2
290,1584,312,3,0
291,1585,290,1,2
301,1585,279,0,3
302,1584,301,1,2
335,1585,334,1,2
345,1585,323,0,3
379,1585,378,1,2
389,1585,367,0,3
423,1585,422,1,2
433,1585,411,0,3
466,1584,444,0,3
467,1585,466,1,2
477,1585,455,0,3
478,1584,477,1,2
510,1584,488,0,3
511,1585,510,1,2
521,1585,499,0,3
522,1584,521,1,2
554,1584,532,0,3
555,1585,554,1,2
565,1585,543,0,3
566,1584,565,1,2
599,1585,598,1,2
609,1585,587,0,3
643,1584,642,1,2
643,1585,642,1,2
653,1584,675,3,0
653,1585,631,0,3
687,1584,686,1,2
687,1585,686,1,2
697,1584,719,3,0
697,1585,675,0,3
731,1584,730,1,2
731,1585,730,1,2
741,1584,763,3,0
741,1585,719,0,3
775,1585,774,1,2
785,1584,807,3,0
785,1585,763,0,3
797,1585,796,1,2
862,1585,884,3,0
874,1585,873,1,2
906,1585,928,3,0
918,1585,917,1,2
950,1585,972,3,0
951,1584,950,1,2
961,1584,939,0,3
962,1585,961,1,2
994,1585,1016,3,0
995,1584,994,1,2
1005,1584,983,0,3
1006,1585,1005,1,2
1038,1585,1060,3,0
1039,1584,1038,1,2
1049,1584,1027,0,3
1050,1585,1049,1,2
1061,1584,1060,1,2
1082,1585,1104,3,0
1083,1584,1082,1,2
1093,1584,1071,0,3
1094,1585,1093,1,2
1105,1584,1104,1,2
1126,1585,1148,3,0
1127,1584,1126,1,2
1137,1584,1115,0,3
1138,1585,1137,1,2
1170,1585,1192,3,0
1171,1584,1170,1,2
1181,1584,1159,0,3
1182,1585,1181,1,2
1193,1584,1192,1,2
1214,1585,1236,3,0
1215,1584,1214,1,2
1225,1584,1203,0,3
1226,1585,1225,1,2
1258,1585,1280,3,0
1259,1584,1258,1,2
1269,1584,1247,0,3
1270,1585,1269,1,2
1302,1585,1324,3,0
1303,1584,1302,1,2
1313,1584,1291,0,3
1314,1585,1313,1,2
1346,1585,1368,3,0
1347,1584,1346,1,2
1357,1584,1335,0,3
1358,1585,1357,1,2
1390,1585,1412,3,0
1402,1585,1401,1,2
1434,1584,1456,3,0
1446,1584,1445,1,2
1478,1584,1500,3,0
1478,1585,1500,3,0
1490,1584,1489,1,2
1522,1584,1544,3,0
1534,1584,1533,1,2
1566,1584,4,3,3
1578,1584,1577,1,2
