904,1584,882,0,3
905,1584,883,0,3
906,1584,884,0,3
907,1584,885,0,3
915,1584,914,1,2
918,1584,896,0,3
919,1584,897,0,3
920,1584,898,0,3
937,1584,936,1,2
959,1584,958,1,2
981,1584,980,1,2
1003,1584,1002,1,2
1025,1584,1024,1,2
1047,1584,1046,1,2
1069,1584,1068,1,2
1091,1584,1090,1,2
1113,1584,1112,1,2
1135,1584,1134,1,2
1157,1584,1156,1,2
1179,1584,1178,1,2
1201,1584,1200,1,2
1223,1584,1222,1,2
1245,1584,1244,1,2
1267,1584,1266,1,2
1289,1584,1288,1,2
1334,1584,1356,3,0
1348,1584,1370,3,0
1357,1584,1379,3,0
1402,1584,1424,3,0
1447,1584,1446,1,2
1498,1584,1499,2,1
