202,1585,180,0,3
203,1585,181,0,3
224,1585,202,0,3
225,1585,203,0,3
246,1585,245,1,2
247,1585,246,1,2
256,1585,257,2,1
278,1585,279,2,1
300,1585,301,2,1
322,1585,323,2,1
344,1585,345,2,1
366,1585,367,2,1
388,1585,389,2,1
410,1585,411,2,1
432,1585,433,2,1
454,1585,455,2,1
476,1585,477,2,1
498,1585,499,2,1
520,1585,521,2,1
542,1585,543,2,1
564,1585,565,2,1
586,1585,587,2,1
608,1585,609,2,1
630,1585,631,2,1
652,1585,653,2,1
674,1585,675,2,1
696,1585,697,2,1
718,1585,719,2,1
740,1585,741,2,1
762,1585,763,2,1
784,1585,785,2,1
862,1585,863,2,1
981,1584,982,2,1
1585,1584,245,0,4
